key,context,en,ja,zh,
desc.what_is_cubego,,"Cubego or Cubegoes, are 3D building block(s) which enable you to build your very own bespoke and personalised 3D models called Cubegon.<br/><br/>Shape your own powerful 3D squad, give them abilities and conquer challenges in combat. Every creation of yours is entirely unique and fully owned by you. Allow your imagination to run riot to turn small Cubegoes into living Cubegons.",キューブとは３Dでモンスターを創るためのブロックの事。自分で作り上げたモンスターは「キューブゴン」と総称されます。<br/><br/>自分だけの3Dモンスターを創って、戦う能力を与え、バトルに挑むゲームです。創り上げたモンスターは完全にあなただけのもの。様々な素材のキューブを使い、キューブゴンとして世に出そう！,Cubego或Cubegoes是3D构建块，可让您构建自己定制的个性化3D模型，称为Cubegon。<br/> <br/>塑造您自己强大的3D小队，赋予它们能力并战胜战斗中的挑战。您的每一件作品都是独一无二的，完全归您所有。让您的想象力骚乱，将小Cubegoes变成活的Cubegons。,
desc.what_next_1,,<span>Ranked Battle</span>: Battles become more exciting as Cubegons can fight alongside each other and gain owner's titles,<span>ランキングモード</span>:キューブゴンが順位を競い、更にバトルを盛り上げます。,<span>战斗排名</ span>：战斗变得更加精彩，因为Cubegons可以互相争斗并获得所有者的头衔,
desc.what_next_2,,<span>Crafting</span>: Make your Cubegons stronger by crafting weapons and gears for them,<span>クラフト</span>:キューブゴンを強化する為の武器や道具を創る事ができるようになります。,<span>制作</ span>：为你的Cubegons制作的武器和装备，使它们变得更强大,
desc.what_next_3,,"<span>Clan/Clan War</span>: Form Clans of Cubegons, unlock Clan Achievements, raid Dungeons and Challenge other Clans",<span>クラン・クラン戦</span>:キューブゴンのクランを結成し、ミッション達成、ダンジョン攻略や他のクランに挑む事ができるようになります。,<span> 氏族/ 氏族战争</ span>：形成Cubegons的氏族，解锁氏族成就，袭击地牢并挑战其他氏族,
desc.what_next_4,,"<span>Cubego Day</span>: Join offline Cubego summits, build Cubegons and compete in Tournaments",<span>キューブゴーデー</span>:オフラインサミットを開催、その場でキューブゴンを創り、トーナメントを行います。,<span> Cubego 日</ span>：加入离线Cubego峰会，建立Cubegons并参加锦标赛,
desc.what_next_5,,<span>AR and VR</span>: Enjoy the next-level gaming experience in Cubego world,<span>AR ＆ VR</span>:キューブゴーの世界がまた新たな次元に突入するところをお見せします。,<span> AR和VR </ span>：享受Cubego世界的下一级游戏体验,
diamond,,Diamond,ダイアモンド,钻石,
dismantle,To Dismantle Cubegon,Dismantle,解体する,,
dismantle_reassemble,,Dismantle and Reassemble,解体と再創造,拆除并重新组装,
diversity,,Diversity,多様性,多样,
earn_reward_header,,Battle and Earn Rewards,バトルをして報酬をゲット！,,
earth,,Earth,地,地,
elite,Cubegon's tier,Elite,エリート,原种,
email,,Contact us,お問合せ,联系我们,
email,,Email,メール,邮箱,
emont,,EMONT,EMONT,EMONT,
emont rebate ends in,,20% all-store EMONT rebate ends in,,,
emont used for presale,,EMONT used for purchasing Presale,Presaleの購入に使用されたEMONT,,
emont_rebate_desc,,EMONT Rebate. This will be claimable after the Presale.,,,
energy,,Energy,エナジー,能量,
energy_already_max,,You already have the max energy limit,エナジー量が既に最大です。,,
energy_note,,Energy is required to join battles.,エナジーはバトルで使用されます。,能量将用于战斗。,
epic,,Epic,エピック,英雄,
epic cubegoes,,Epic Cubegoes,エピックキューブ,,
erase,,Erase,消す,抹掉,
err_invalid_receiver_address,,Invalid Receiver's Address,受信者のアドレスが無効です,接收者地址无效,
err.agree_tos_pp,,Please agree to the <a href='/tos' target='_blank'>Terms of Sale</a> and <a href='/tos' target='_blank'>Privacy Policy<a>,<a href='/tos' target='_blank'>販売規則</a>と<a href='/privacy' target='_blank'>個人情報保護</a>に関する方針についてご同意ください,请同意<a href='/tos' target='_blank'>销售条款</a>和<a href='/tos' target='_blank'>隐私政策<a>,
err.castle_mon_level_require,,Each of your Mons must not exceed the corresponding attacked ones by ${lv} levels,モンスターは相対する相手モンスターより${lv}レベル超えてはいけません。,您的每个Mons不得超过$ {lv}级的相应攻击者,
err.cubego_release_soon,,Build feature is coming soon in the next few weeks.,このモードは近日中に実装されます。,,
err.empty_castle_name,,Please input the castle's name,城の名前を入力してください,请输入城堡的名称,
err.empty_mon,,Please select your Etheremon,イーサエモンを選択してください。,请选择您的Etheremon,
err.empty_name,,Please give a name,名前を入力してください,请给出一个名字,
err.empty_trainer_level,,Please select trainers's level,トレーナーレベルを選択してください,请选择培训师的级别,
err.energy_cannot_be_blank,,Please select an energy limit,エナジー上限値を選択してください。,,
err.fee_mon_cannot_trade,,Free Mons at level 1 cannot be traded.,無料のモンスターはレベル１の状態で取引できません。,1级的免费Cubegon不可交易。,
err.invalid_attackers,,You must choose at least 3 attackers,最低でもアタッカーを3人選択してください。,您必须选择至少3名攻击者,
err.invalid_bid,,Invalid Bidding Amount,無効な入札額です,无效的出价金额,
err.invalid_castle_bricks,,Castle must have at least ${bricks} bricks.,城には最低でもレンガが${bricks}個必要です。,城堡必须至少有$ {bricks}砖。,
err.invalid_castle_value,,Castle's value must be a number,城の値は数字で入力してください,城堡的值必须是数字,
err.invalid_cubegon_name,,Name must be from ${from} to ${to} characters,名前は${from} 文字〜 ${to}文字以内に収めてください。,,
err.invalid_duration,,Invalid Duration,継続時間が無効です,期限无效,
err.invalid_email,,"Ops, you typed the wrong email",emailアドレスが間違っています,Ops，你输入了错误的邮箱,
err.invalid_ether_address,,Please input a valid Ether address,正しいイーサアドレスを入力してください,请输入有效的Ether地址,
err.invalid_fee,,Fee must be from ${from} to ${to} ${unit},フィーは ${from} から ${to} ${unit}の範囲内で入力して下さい。,费用必须从$ {from}到$ {to} $ {unit},
err.invalid_length,,${field} must have from ${from} to ${to} characters,${field}は${from}から${to}文字までの文字列を入力してください,$ {field}必须包含$ {from}到$ {to}个字符,
err.invalid_level,,Mons' level must not exceed ${lvl},レベル${lvl}はレベル制限を超えています,Cubegon的级不得超过$ {lvl},
err.invalid_name,,Invalid Name,名前が無効です,名称无效,
err.invalid_num_attacks,,Invalid number of attacks,無効な攻撃回数です,无效的攻击次数,
err.invalid_practice,,Please select your Etheremons and 5 castles to attack,イーサエモンと攻撃する城を5つ選択してください,请选择您的Etheremons和5座城堡进行攻击,
err.invalid_price,,Invalid Price,価格が無効です。,价格无效,
err.invalid_receiver,,Invalid Receiver,受取人のが無効です。,,
err.invalid_signature,,Invalid Signature,署名が無効です。,签名无效,
err.invalid_singature,,Invalid Signature,無効な署名です,签名无效,
err.invalid_trainers,,Please select exact 3 trainers,トレーナーを3人選択してください,请精选3名培训师,
err.invalid_transfer_amount,,Invalid transfer amount,アカウントが無効です。,,
err.invalid_username,,Username must be from 6 to 18 characters,ユーザー名は6-18文字の範囲内でお願いします。,用户名必须为6到18个字符,
err.max_cubes,,A Cubegon can have a maximum of 2000 Cubegoes,使用できるキューブは2000個までとなっています,,
err.max_materials,,A Cubegon can only have up to 4 different types of Cubegoes.,使用できるキューブのタイプは４種類までとなっています,,
err.metamask_not_connected,,Metamask/Mist is not connected,Metamask/Mistが接続されていません,Metamask / Mist未连接,
err.metamask_not_installed,,Metamask/Mist is not installed,Metamask/Mistがインストールされていません,未安装Metamask / Mist,
err.model_already_registered,,This Cubegon has been already registered,このキューブゴンは既に登録されています。,,
err.model_not_valid,,Model is invalid,このモデルは有効ではありません,模型无效,
err.not_enough_energy,,You don't have enough energy,エナジーが足りません,您没有足够的能量,
err.not_enough_token,,You only have ${amount} ${token} left,${amount} ${token}しか残っていません,您只剩下$ {amount} $ {token},
err.nothing_to_cash_out,,Nothing to cash out,残額が足りません,无任何东西可兑现,
err.nothing_to_claim,,You have nothing to claim,申請できるものはありません,您没有任何要求,
err.please_select_castles_to_attack,,Please select exactly ${value} castles to attack,攻撃する城を${value}個選択してください,请准确选择$ {value}城堡进行攻击,
err.server_busy,,Server is busy,サーバーが混み合っています,服务器在忙碌中,
err.shape_already_registered,,Shape is already registered!,型が既に登録されています！,形状已经注册！,
err.smaller_bid,,Your bid must be at least the next secure bid.,次の最低入札価格以上で入札ください,您的出价必须至少是下一次的安全出价。,
err.some_invalid_materials,,You don't have enough: ${materials},${materials}が足りません。,,
err.too_low_catch_power,,Your catching power must be at least the current price.,キャッチングパワーは現在価格を下回ってはいけません。,您的捕获力必须至少是当前的价格。,
err.transfer_to_owner,,You cannot transfer to yourself,あなたを移動する事は出来ません。,,
estimated cost,,Estimated Cost,完成時のコスト,预计费用,
estimated power,,Estimated Power,完成時のパワー,预计力量,
eth,,ETH,ETH,ETH,
eth used for building cubegon,,ETH used for building Cubegons,Cubegonsを構築するために使用されるETH,,
eth used for presale,,ETH used for purchasing Presale,Presaleの購入に使用されたETH,,
faq,,FAQ,FAQ,常问问题,
features,,Features,特徴,特征,
fire,,Fire,火,火,
follow_us,,Follow us:,フォローする,跟踪我们：,
footer.contact_us,,Contact us,お問合せ,联系我们,
footer.privacy_policy,,Privacy Policy,プライバシーポリシー,隐私政策,
footer.terms_of_sale,,Terms of Sale,販売規約,销售条款,
front_view,,Front view,前から見る,正视图,
fur,,Fur,毛皮,毛皮,
gallery,,Gallery,ギャラリー,,
game_intro,,Game Intro,イントロダクション,游戏介绍,
game_tutorial,,Game Tutorial,チュートリアル,,
gameplay,,Gameplay,ゲームプレイ,游戏,
get_the_latest_news,,Get The Latest News!,最新情報を受け取る,获取最新消息！,
gift,,Gift,プレゼント,,
github,,Github,Github,Github,
go_to_battle,,Go To Battle,バトルへ向かう,进入战斗,
go_to_mew,,Go To MyEtherWallet,MyEtherWalletへ移動,MyEtherWallet로 이동,跳转至MyEtherWallet
god,Cubegon's tier,God,ゴッド,神,
gold,,Gold,金,金,
gold pack,,Gold Pack,金パック,金包,
grass,,Grass,草,草,
health,Health Point,Health,HP,,
home_combat_title,,Combat for rewards,バトル,战斗,
home.combat,,"What's more exciting is to bring your own characters to battle, conquer challenges and gain rewards. What you can earn includes: Cubego Boxes, EMONT tokens, Special items, Special Cubegons and Battle moves.<br/><br/>High-tier Cubegons like Champion and Elite fight in higher-class battles, unlock more Dungeons and hence can win more rewards than Common Cubegons. They also learn more Exclusive Battle Moves and have more slots for crafting.",バトルはあなたのキューブゴンを輝かせるだけでなく、魅力溢れる報酬を手に入れる事ができる場所でもあります。キューブボックス、EMONTトークン、スペシャルアイテム、特別なキューブゴン、そしてバトルによって得られるキューブゴンのムーブ。<br><br>格の高いキューブゴンは獲得できるムーブも特別。価値もさらに高まります。,竞技场是您的Cubegons展示力量的游乐场。享受3D战斗体验以及Cubegons令人兴奋的动画。 Cubegons能够通过战斗学习技能和提升它自己的能力。<br/> <br/>击败对手，战胜挑战并获得奖励！,
home.copyright,,"Both Cubegoes (cube blocks) and Cubegons (characters) are tradable.<br/><br/>Limited Cubegoes are essential to build high-tier Cubegons. As they will not be available in store post-Presale, their value will increase and benefit anyone who owns them. Those value can be realized via trading. High-tier Cubegons like Champion and Elite can learn exclusive battle moves, which makes them more valuable.",「キューブ」と「キューブゴン」共に取引可能なものです。<br/><br/>特にプレセールのみで販売されるキューブはこの期間中のみの販売で、以降公式ショップでは手に入りません。それは即ちそのキューブの価値は今後上がりやすく、手にしている全ての人に利益を産むものとなるのです。,您拥有创作的全部所有权。每个Cubegon都是独一无二的，并附有创作者的版权;受区块链技术保护。构建Cubegon模型还可以为您提供更多颜色变化的特权。<br/> <br/>我们保护您，创作者的权利！,
home.creation,,"Your Cubegon characters are 100% unique. No one can copy them.<br/><br/>Creating a character also grants you a copyright ownership, making you the only one who can create color variants of the character. The copyright ownership is tied to the ""Original"" character only and is also transferrable to other players by selling the ""Original"" characters. Sell variants of a character or the ""Original"" one, you decide!",あなたの創り出したキャラクターは完全にあなたの物となります。<br/><br/>ブロックチェーンテクノロジーによって、あなたの「キューブゴン」は著作権的にも保護され、あなただけがカラーバリエーションを創ることができます。カラバリを作って取引して、収益をあげるのも夢じゃない！,所有创造都决于称为Cubego的“原材料”。选择您喜欢的材料，亲自制作自己的3D Cubegon角色。您可以给它们惊人的多彩外观，独特的能力和令人回味的移动。<br/> <br/>让您的想象力骚乱并表现在活的Cubegons上！,
home.opening,"Cube world in your hand! <br/><br/>Our mission is to enable you to ignite your creativity and imagination as you build your own 3D characters. They will be the soldiers standing by your side in the face of all adversary and earning you significant rewards. 
<br/>Let's immerse into a world of limitless creativity!","Cubego or Cubegoes, are 3D building block(s) which enable you to build your very own bespoke and personalised 3D models called Cubegon.<br/><br/>Some cube materials are limited and more powerful than others. They are key to make your Cubegons stronger. Moreover, you own copyright of your characters so that no one can copy them. You can trade your characters for Ether or send them to battles to earn more items and rewards.<br/><br/>Let's immerse into a fun world of limitless creativity!",この世界はキューブ一つ一つを使ってあなたオリジナルのキャラクター、「キューブゴン」を自らの創造性を駆使し作ることができる新しいゲームです。<br><br>自由な発想とイマジネーションであなただけの３Dキャラクターを創ってみましょう！そして創ったキューブゴンとバトルに挑み、魅力的な報酬をゲットしよう！<br><br>さあ、創造性を無限に発揮できる世界へようこそ！,Cubego或Cubegoes是3D构建模块，可让您构建自己的定制和个性化3D模型，称为Cubegon。<br/><br/>我们的使命是让您在构建时点燃您的创造力和想象力如您自己的3D角色。它们将成为站在您身边的士兵面对所有对手并为您带来丰厚的奖励。<br/> <br/>让我们沉浸在一个无限创造力的世界里！,
home.opening_2,,"A world built of Cubegoes, 3D cubes that enhance your creativity. Build your unique character (Cubegon) and have its copyright; then you can trade your Cubegon for tokens or join the battle for amazing rewards.<br/><br/>Let's immerse into a fun world of limitless creativity!",キューブで自分だけのオリジナル３Dキャラクターを創ろう！キューブゴンと呼ばれるこのキャラクターの著作権はあなたのもの。取引をしたり、カスタムしたり、バトルで報酬をゲットしたり育成したり…遊び方もたくさん！<br/><br/>さぁ創造の翼に乗って、キューブゴーの世界に飛び込もう！,,
home.why_presale,,"As a blockchain-based token, Cubego has a scarce favor and is a starting ingredient to build advanced character. The more precious Cubego looks, the stronger and rarer it is.
<br/><br/>For a restricted time, the Presale is an exclusive event to own limited precious Epic and Rare Cubegoes in store, which will no longer be available post-Presale.",プレセールは限定キューブが手に入るまたとない機会です。プレセール期間が終了した後は公式ショップで販売されることはありません。<br/><br/>格の高い、強力なキューブゴンを創る為に必要不可欠なのはこのキューブ達です。<br/><br/>プレセール期間中、様々なイベントやセールが行われるので是非チェックして下さい！,,
hours,,hours,時間,小时,
how_to_play,,Why joining Cubego Presale?,遊び方,怎么玩,
how_to_play_2,,More features,更なる特徴,,
ice,,Ice,氷,冰,
ice pack,,Ice Pack,氷パック,冰包,
import model,,Import Model,モデルをインポートする,,
in_partnership_with,,Partnership,パートナーシップ：,合作关系,
install Cipher,,Install Cipher,Cipherをインストール,,
install Coinbase Wallet,,Install Coinbase Wallet,Coinbase Walletをインストール,,
install GO!Wallet,,Install GO!Wallet,Go!Walletをインストール,,
install metamask,,Install Metamask,MetaMaskをインストール,,
intro,,Introduce,イントロ,介绍,
intro_single,,Intro,イントロダクション,介绍,
inventory,Player's Inventory to store cubegoes & cubegons,Inventory,インベントリ,,
invite code,,Invite Code,招待コード,邀请码,
invite_friends,,Invite Friends,友達を招待する,邀请朋友,
iron,,Iron,鉄,铁,
iron pack,,Iron Pack,鉄パック,铁包,
join presale,,Get Cube Packs,プレセールに参加する,,
join_presale_build_your_cubegon,,Get Cube packs and build your Cubegon now!,プレセールでキューブをゲットして、キューブゴンを創りませんか？,,
landing.button_1,,Get started,早速始める！,,
landing.button_2,,Buy Eth,イーサリアムを購入,,
landing.button_3,,Install wallet,ウォレットをインストール,,
landing.button_4,,Go Create,Cubegoで遊ぶ！,,
last.1,,Cubego sounds fun... how do I get started?,やってみようかな…まずは何しよう？,Cubego听起来很有趣......我该如何开始？,
last.2,,<b>The Presale has been opened!<b/>,<b>プレセール開催中です！<b/>,,
last.3,,"Get Cube packs from the <b>Presale</b> to collect the <b>limited Legendary, Epic and Rare Cubegoes</b> and begin creating your very own handsome and powerful squad.",<b>プレセール</b> で<b>限定キューブであるレジェンダリー、エピック、レアキューブ</b> をゲットしてよりパワフルで魅力的なキューブゴンを創ろう！,,
last.4,, ,,,
leaderboard,,Leaderboard,トップランカー,排行榜,
leaf,,Leaf,葉,叶,
leaf-cubegoes,,Leaf Cubegoes,葉キューブ,,
legend,,Legendary,レジェンド,传奇,
legendary,,Legendary,レジェンド,传奇,
load model from file,,Import Model,モデルとインポート,,
lose,,Lose,敗北,败阵,
manual sign in,,Manual Sign In,マニュアルでログイン,手工登入,
manual_sign_in.intro,,"It is highly recommended to sign in using Metamask on Desktop. On Mobile, you can use Coinbase Wallet (EN) or Cipher (EN) or Go!Wallet (JP).</br></br>You can also sign in manually on Desktop by typing your Ether address below (not recommended).",MetaMask、Mist、Coinbase Wallet、Go!Walletの使用をお薦めしています。<br/><br/>もしくは下記欄にイーサリアムアドレスを直接入力しても遊ぶことができます。,建议使用Metamask，Mist或Coinbase Wallet登录。但是您也可以通过键入Ether网地址手动登录。,
market,,Market,マーケット,市场,
match,,Match,試合,比赛,
matches,,Matches,試合,,
material,,Material,素材,材料,
meet_the_team,,Project Team,チームメンバー,项目团队,
metamask_installation_guide,,Read more for Metamask Installation Guide,Metamask インストール方法はこちら。,,
metamask_is_locked,,Your MetaMask is Locked,MetaMaskがロックされています,你的MetaMask已被锁,
metamask_not_installed,,Metamask is a secured wallet to store all your assets!,ゲームを遊ぶ為にはアカウントが必要です。,尚未安装Metamask,
mins,,mins,分,分钟,
mobile_app_not_installed,,You will need a Mobile wallet to securely store all your assets!,ゲームを遊ぶ為にはアカウントが必要です。,您的手机钱包尚未安装,
model_matched_notice,,"If this Cubegon is yours and you wish to make a copy of it, make sure the color similarity score is less than 90%.",このキューブゴンがあなたのものであれば複製が可能です。ただ複製する場合相似度合いは90％未満に抑えなければいけません。,,
move,,Move,移動,移动,
my_cubegoes,,My Cubegoes,マイキューブゴン,我的Cubegoes,
my_cubegons,,My Cubegons,マイキューブゴン,我的Cubegons,
my_heroes,,My Heroes,マイヒーロー,我的英雄,
new energy limit,,New Energy Limit,新しいエナジーリミット,,
new model,,New Model,新モデル,新模式,
no account,,,,,
no_metamask,,Metamask/Mist are not supported. Please do the transaction manually using the following data. You can check the guide <a href='https://medium.com/@myetheremon/a4f355971ea2' target='_blank'>here</a>. Note that the transaction may take a few minutes or longer to finish. Please wait for your transaction to be successfully mined.,"
Metamask,Mistがサポートされていません。トランザクションをマニュアルで行う必要があります。詳しくは<a href='https://medium.com/cubego/%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%96%E3%82%B4%E3%83%BC%E3%82%92%E5%A7%8B%E3%82%81%E3%82%88%E3%81%86-ee1d66159a00' target='_blank'>こちら</a>のガイドをご覧ください。通常トランザクションは数分かそれ以上かかる場合があります。処理が終了するまでしばらくお待ちください。",,
no_move_yet,,No moves yet. Moves will be available when arena is released.,まだムーブがありません。アリーナがオープン次第、実装されます。,,
note_challenger,,Challenger,チャレンジャー,,
note_champion,,"Champion, need some epic cubes",チャンピオン、エピックキューブが必要,,
note_elite,,Elite,エリート,,
note_god,,"God, need some legendary cubes",ゴッド、レジェンダリーキューブが必要,,
num_pack,,${num} Pack,${num}パック,$ {num}包,
num_packs,,${num} Packs,${num}パック,$ {num}包,
official_store,,Official Store,公式ショップ,官方商店,
open in build tool,Open a cubegon in build tool,Open in Build Tool,製作ツールを開く,,
original,"Original model .i.e the first one, which can make clones",Original,オリジナル,,
owner,,Owner,オーナー,,
pack(s),,Pack(s),パック,包,
paint,,Paint,ペイント,涂料,
paper,,Paper,紙,纸,
paste_layer,,Paste layer,レイヤーを<br>貼り付け,粘贴图层,
patent_id,,Patent ID,保護ID,专利号,
pending_cubegon_desc,,Create your Cubegons before the time expires; or you will lose your registered models,ブロックチェーン登録には時間制限があります。制限時間内に登録しなかった場合は作成したモデルが失われる場合があります。,,
pick_color,,Color Picker,カラー選択,颜色选择器,
plastic,,Plastic,プラスチック,塑料,
play_now,,Play Now,プレイする,开始游戏,
please_input,,Please Input,入力して下さい,,
please_install_metamask,,"We recommend using Metamask on Desktop for the best experience.</br>
You will also receive <b>300 Basic Cubegoes</b> after sign up!",アカウントの登録にはメールアドレスを入力して下さい。<br/><b>今なら300個のベーシックキューブをプレゼント！<b/>,请安装Metamask进行注册并获得<b> 300个基本Cubegoes！</ b> <br/>或订阅我们以获取最新消息和优惠！,
please_install_mobile_app,,Install Coinbase Wallet or Cipher to sign up and get <b>300 Basic Cubegoes!</b></br>Or subscribe us for latest news and offers!,アカウントの登録にはメールアドレスを入力して下さい。<br/><b>今なら300個のベーシックキューブをプレゼント！<b/>,请安装Coinbase Wallet或Cipher以注册并获得<b> 300个基本Cubegoes！</ b> </ br>或订阅我们以获取最新消息和优惠！,
please_select,,Please Select,選択して下さい,,
please_unlock_metamask,,Please unlock MetaMask to sign in,ログインするにはMetaMaskをアンロックしてください,请解锁MetaMask以登录,
power_score,,Strength,能力値,力量分,
Presale has ended,,Presale has ended,Presaleは終了しました,,
presale start in,,Presale starts in,プレセール開始,预售开始于,
presale_info_on_store_page,,Cubego will be releasing soon. Register now for the PRESALE!,キューブゴーは近日リリース予定です。登録してプレセールに参加しよう！,Cubego即将推出。 现在注册预售！,
preview,Preview Model,Check out,プレビュー,预习,
price (emont),price in emont,Price (EMONT),価格(EMONT),,
price (eth),price in eth,Price (ETH),価格(ETH),,
price/unit,,Price/Unit,価格 /体,价格单位,
principles_of_creation,,Principles of Creation,創造の楽しさを,创作原则,
proj_advisors,,Project Advisors,アドバイザー,项目顾问,
purchase,,Purchase,購入する,采购,
purchase now,,Purchase Now,キューブを買う!,,
purchase_cube,,Purchase Cubego,キューブを購入する,,
purchase_cube_done,,"You have just made a purchase. Depending on the network, it may takes few minutes or longer for the cubes to come.<br>Once the transaction is successful, kindly check your inventory (you might need to refresh the Inventory page)!",購入が完了しました。ブロックチェーンネットワークの状態によってキューブが手元に届く時間にばらつきがあります。<br>トランザクション成功後はインベントリで確認してください。（ページの更新もお忘れなく！）,,
purchase_eth_pc,,,ゲームを遊ぶ為にはイーサリアムが必要です。購入方法はこちら。,,
purchasing_cube,,Purchasing Cubego,キューブを購入する,,
quantity,,Quantity,数量,数量,
quick_use_guide,,Hold [${key}] for Quick Use,[${key}]でショートカットを使う ,按[${key}]进行快速使用,
rank,,Rank,ランキング,排名,
ranking,,Ranking,ランキング,排行,
rare,,Rare,レア,罕见,
rare cubegoes,,Rare Cubegoes,レアキューブ,,
re-register,,Create,創る,,
re-register_cubegon,,Create Cubegon,キューブゴンを創る,,
re-register_cubegon_note,,"Your cubegon model has been registered. Before it expires, you have to create it onto the blockchain. Do not wait until the last minute as the transaction needs to be mined successfully before the time expires.",キューブゴンモデルがサーバーに登録されました。次のステップとしてブロックチェーン上で登録、承認される必要があります。トランザクションに問題が発生しないよう、時間を置かず、すぐに行ってください。,,
re-registering_cube,,Creating Cubegon,キューブゴン製作中,,
read_more,,Read more,詳細はこちら,阅读更多,
receiver address,,Receiver Address,受取人のアドレス,,
recommended_gas,,Recommended GAS Limit,推奨するガスリミット,추천 가스 리미트 ,推荐GAS限额
redo,,Redo,やり直す,重做,
referral__title,,Invite your friends using your referral link and get <span>5%</span> of the money they spend in the Presale.,友達を招待するリンクをゲットして、プレセール内で使用した分の<span>5%</span>のキックバックをもらおう！,使用您的推介链接邀请您的朋友，并获得他们在预售中花费金额的<span> 5％</ span>。,
referred emont,,Referred EMONT,参照EMONT,,
referred eth,,Referred ETH,参照ETH,,
referred friends,,Referred Friends,紹介された友達,,
register,,Register,登録,登记,
register for presale,,Register for Presale,登録してプレセールニュースを受け取る,注册预售,
register now for presale,,Register now for the Presale,今すぐ登録してプレセールニュースを受け取ろう！,现在注册预售,
register_cubegon,,Create Cubegon,キューブゴンを創る,,
register_cubegon_done,,"Your Cubegon has been created. Depending on the network, it may take a few minutes or more for the Cubegon to enter your <a href='/inventory'>inventory</a>.<br/><br/>In case the transaction fails, come back here to create again.",あなたのキューブゴンがブロックチェーン上で承認されました。<ahref=`/inventory'>インベントリ</a>にキューブゴンが表示されるまでに数分から１時間程かかる場合があります。,,
register_cubegon_note,,"Your cubegon has been registered. In the next 12 hours, you have to create it onto the blockchain. Before it is created, the pending models can be found <a href='/inventory?tab=pending-cubegon'>here</a>.",キューブゴンは登録されました。これより12時間以内にブロックチェーン上に登録されます。登録作業中のモデルは<a href='/inventory?tab=pending-cubegon'>こちら</a>で確認できます。,,
registering_cube,,Creating Cubegon,キューブゴン登録中,,
review_cubegon,,Review Cubegon,レビューする,评论Cubegon,
review.image_note,,"Rotate to find your Cubegon's best pose. This will be permanent, please choose carefully.",キューブゴンを回転させ、ポーズを決めて下さい。,旋转以找到您的Cubegon的最佳姿势,
roadmap,,RoadMap,ロードマップ,路线图,
roadmap.1_content,,Presale begins,プレセール開始,预售开始,
roadmap.1_header,,Nov 2018,2018年11月,2018年11月8号,
roadmap.2_content,,Cubegon Building & Marketplace,キューブゴン創り＆マーケット実装,Cubegon建筑与市场,
roadmap.2_header,,Dec 2018,2018年12月,2018年12月18号,
roadmap.3_content,,Arena opening,アリーナオープン,竞技场开幕,
roadmap.3_header,,Jan 2019,2019年1月,2018年1月19号,
roadmap.4_content,,Ranked Battle,ランキング戦,战斗排名,
roadmap.4_header,,Q1 2019,2019年第１Q,2019年第一季度,
roadmap.5_content,,Lab - Crafting & Enhancements,クラフト ＆ 拡張機能追加,制作和改进,
roadmap.5_header,,Q2 2019,2019年第２Q,2019年第二季度,
roadmap.6_content,,"PvE, Clan War & Achievements",クラン戦 ＆ ミッション,氏族战争与成就,
roadmap.6_header,,Q3-Q4 2019,2019年第３-４Q,2019年第3季度至第4季度,
roadmap.7_content,,Cubego Day,"AR,VRワールド",Cubego日,
roadmap.7_header,,2020,2020年,2020年,
save,Action to save model,Save,保存する,保存,
save image,,Save Image,画像を保存,,
save to file,,Save to File,ファイルに保存,,
saved,Action done,Saved,保存されました,已保存,
sec,,sec,秒,秒,
select_layer,,Select layer,レイヤーを<br>選択,选择图层,
shape_matched_notice,,A similar Cubegon already exists. Please adjust your model and try again.<br/>(Similarity requirement: <85%),既に同じようなキューブゴンが登録されています。（15％以上の相違がない場合登録はできません）,,
share_on_facebook,,Share to Facebook,フェイスブックでシェア,分享到Facebook,
share_on_twitter,,Share to Twitter,ツイッターでシェア,分享到Twitter,
showroom,,Showroom,ショールーム,,
side_view,,Side view,横から見る,侧面视图,
sign in,,sign in,サインイン,登入,
sign in to claim,,Sign in to claim,,,
sign_in_signature,,Signature (<a href='https://medium.com/cubego/ff5f32516192#6b9d' target='_blank'>What is signature?</a>),署名する (<a href='https://medium.com/cubego/ff5f32516192#6b9d' target='_blank'>署名とは？</a>),,
sign_up_label.register-popup,,Sign up to continue,ログインして続ける,注册以继续,
sign_up_label.setting-info,,User Setting,設定,设置,
sign_up_label.sign-up,,Sign up to start the journey,登録して旅立つ,注册以开始您的旅程,
signature,,Signature,署名,签名,
signature_placeholder,,Copy the 'sign' field and paste it here,署名欄をコピーして貼り付けてください。,复制“签名”字段并粘贴到此处,
signing_instruction,,"A popup will show up for you to sign. If you do not see the pop up, kindly check your Metamask / mobile wallets.",承認を求めるポップアップが出ます。もし何も出てこない場合、一度MetaMask、もしくはウォレットアプリをお確かめください。,,
signup_label,,Sign up to discover the Cubego,新規登録してキューブゴーで遊ぶ,注册以发现Cubego,
silver,,Silver,銀,银,
silver pack,,Silver Pack,銀パック,银包,
Similarity,,Similarity,類似度,,
sort.highest_cubegoes,,Highest cubegoes,高いキューブ,,
sort.highest_stats,,Highest Stats,能力値の高い順,,
sort.lowest_cubegoes,,Lowest Cubegoes,安いキューブ順,,
sort.lowest_stats,,Lowest Stats,能力値が低い順,,
sort.name,,Sort by Name,名前順,,
sort.newest_cubegon,,Newest Cubegons,新着順,,
sort.type,,Sort by Type,タイプ順,,
